,model_label,year,precipitation,temperature
0,ssp585_gfdl-esm4,2019,0.009547166526317596,284.25567626953125
1,ssp126_ipsl-cm6a-lr,2018,0.019020164385437965,286.3876647949219
2,ssp585_ukesm1-0-ll,2009,0.01802222430706024,284.756591796875
3,ssp126_gfdl-esm4,2017,0.022130776196718216,285.9252624511719
4,ssp126_gfdl-esm4,2015,0.012680917046964169,286.4496765136719
5,ssp585_ukesm1-0-ll,2015,0.013293295167386532,287.4461975097656
6,ssp126_ukesm1-0-ll,2004,0.015626192092895508,285.2575378417969
7,ssp126_ukesm1-0-ll,2008,0.012174103409051895,285.1886901855469
8,ssp126_mri-esm2-0,2011,0.015787983313202858,287.12554931640625
9,ssp370_ukesm1-0-ll,2020,0.014312846586108208,287.0796813964844
10,ssp370_ukesm1-0-ll,2009,0.01802222430706024,284.756591796875
11,ssp126_ipsl-cm6a-lr,2002,0.019332537427544594,284.2784118652344
12,ssp370_ukesm1-0-ll,2015,0.019250862300395966,286.0024108886719
13,ssp126_ipsl-cm6a-lr,2004,0.011115397326648235,286.1084289550781
14,ssp126_ukesm1-0-ll,2009,0.01802222430706024,284.756591796875
15,ssp370_mpi-esm1-2-hr,2017,0.011464612558484077,286.5966796875
16,ssp126_mri-esm2-0,2003,0.00927074532955885,285.4153747558594
17,ssp126_ipsl-cm6a-lr,2003,0.008234051056206226,285.6878662109375
18,ssp370_ipsl-cm6a-lr,2002,0.019332537427544594,284.2784118652344
19,ssp370_ipsl-cm6a-lr,2015,0.009441756643354893,287.68780517578125
